"location","全部","兒少保護","老人保護","其他家虐","親密關係"
"信義區六藝里",8,1,2,1,4
"信義區三犁里",20,3,0,6,11
"信義區三張里",32,6,1,13,12
"信義區雙和里",24,1,1,8,14
"信義區四維里",8,2,4,0,2
"信義區四育里",23,1,0,10,12
"信義區松光里",14,1,3,6,4
"信義區松隆里",15,2,0,7,6
"信義區松友里",30,1,2,13,14
"信義區泰和里",33,2,3,14,14
"信義區五常里",17,2,1,3,11
"信義區五全里",18,2,1,3,12
"信義區西村里",11,1,2,2,6
"信義區新仁里",1,0,0,0,1
"信義區興隆里",7,0,0,3,4
"信義區興雅里",21,0,2,5,14
"信義區雅祥里",22,2,0,9,11
"信義區永春里",23,0,2,12,9
"信義區永吉里",10,0,0,4,6
"信義區長春里",24,1,2,7,14
"信義區正和里",17,0,3,3,11
"信義區中坡里",16,3,0,6,7
"信義區中行里",31,1,1,20,9
"信義區中興里",10,0,0,3,7
"中山區北安里",8,2,0,5,1
"中山區成功里",16,1,0,7,8
"中山區大佳里",1,0,0,1,0
"中山區大直里",25,3,0,9,13
"中山區復華里",11,0,0,5,6
"中山區恆安里",14,0,0,4,10
"中山區集英里",27,2,3,10,12
"中山區劍潭里",31,4,2,11,14
"中山區江寧里",18,0,1,7,10
"中山區江山里",16,0,1,9,6
"中山區金泰里",23,2,2,4,15
"中山區聚盛里",17,1,0,3,13
"中山區聚葉里",14,2,0,7,5
"中山區康樂里",27,1,2,6,18
"中山區力行里",9,0,1,7,1
"中山區龍洲里",8,0,0,4,4
"中山區民安里",18,2,0,8,8
"中山區埤頭里",9,3,0,3,3
"中山區晴光里",34,3,2,8,21
"中山區松江里",11,0,1,3,7
"中山區下埤里",24,4,1,7,12
"中山區新福里",19,2,1,7,9
"中山區新生里",12,1,1,3,7
"中山區新喜里",18,3,2,7,6
"中山區新庄里",25,2,0,14,9
"中山區行仁里",27,1,1,10,15
"中山區行孝里",17,3,0,7,7
"中山區行政里",12,3,1,1,7
"中山區興亞里",15,0,0,5,10
"中山區永安里",21,2,1,7,11
"中山區圓山里",28,0,0,8,20
"中山區正得里",20,0,0,1,19
"中山區正守里",8,0,0,3,5
"中山區正義里",24,3,1,5,15
"中山區中吉里",12,1,0,6,5
"中山區中山里",31,2,1,7,21
"中山區中央里",16,0,0,6,10
"中山區中原里",22,1,1,9,11
"中山區中庄里",18,3,1,5,9
"中山區朱馥里",20,5,0,2,13
"中山區朱崙里",13,1,2,1,9
