"","district","town"
"479","文山區","興豐里"
"480","萬華區","壽德里"
"481","北投區","榮光里"
"482","大安區","龍圖里"
"483","中山區","永安里"
"484","大安區","黎和里"
"485","士林區","明勝里"
"486","萬華區","新忠里"
"487","士林區","蘭雅里"
"488","中正區","光復里"
"489","萬華區","華中里"
"490","南港區","東新里"
"491","士林區","富洲里"
"492","南港區","新富里"
"493","北投區","吉利里"
"494","萬華區","孝德里"
"495","大安區","民輝里"
"496","內湖區","五分里"
"497","信義區","西村里"
"498","北投區","振華里"
"499","北投區","裕民里"
"500","萬華區","和德里"
"501","松山區","安平里"
"502","北投區","桃源里"
"503","北投區","泉源里"
"504","大安區","龍圖里"
"505","大同區","民權里"
"506","大安區","光明里"
"507","中正區","螢雪里"
"508","中正區","忠勤里"
"509","信義區","三張里"
"510","北投區","立農里"
"511","文山區","興泰里"
"512","大安區","錦泰里"
"513","松山區","復源里"
"514","北投區","智仁里"
"515","北投區","永和里"
"516","士林區","翠山里"
"517","萬華區","壽德里"
"518","萬華區","壽德里"
"519","大安區","古風里"
"520","大安區","通化里"
"521","萬華區","日祥里"
"522","中山區","恆安里"
"523","中山區","中庄里"
"524","萬華區","頂碩里"
"525","萬華區","頂碩里"
"526","北投區","福興里"
"527","萬華區","新忠里"
"528","內湖區","西康里"
"529","內湖區","西湖里"
"530","北投區","溫泉里"
"531","士林區","福華里"
"532","南港區","西新里"
"533","萬華區","新安里"
"534","大安區","昌隆里"
"535","中山區","聚盛里"
"536","萬華區","新安里"
"537","松山區","福成里"
"538","松山區","民福里"
"539","內湖區","紫雲里"
"540","內湖區","金湖里"
"541","信義區","三張里"
"542","大安區","通安里"
"543","信義區","黎忠里"
"544","內湖區","港富里"
"545","北投區","裕民里"
"546","內湖區","西湖里"
"547","信義區","安康里"
"548","南港區","三重里"
"549","萬華區","凌霄里"
"550","南港區","三重里"
"551","士林區","天母里"
"552","內湖區","紫星里"
"553","士林區","義信里"
"554","大同區","重慶里"
"555","中正區","螢雪里"
"556","內湖區","五分里"
"557","內湖區","五分里"
"558","內湖區","港墘里"
"559","南港區","中研里"
"560","萬華區","新安里"
"561","大安區","義安里"
"562","萬華區","新安里"
"563","士林區","舊佳里"
"564","北投區","吉慶里"
"565","信義區","西村里"
"566","士林區","前港里"
"567","大同區","隆和里"
"568","北投區","大同里"
"569","信義區","西村里"
"570","北投區","立農里"
"571","北投區","溫泉里"
"572","中正區","光復里"
"573","中山區","正得里"
"574","萬華區","富福里"
"575","松山區","松基里"
"576","士林區","社新里"
"577","士林區","蘭興里"
"578","大安區","通安里"
"579","萬華區","華中里"
"580","松山區","吉祥里"
"581","士林區","葫蘆里"
"582","南港區","新光里"
"583","南港區","新光里"
"584","中正區","幸市里"
"585","士林區","天和里"
"586","信義區","四育里"
"587","內湖區","安泰里"
"588","萬華區","興德里"
"589","大安區","仁慈里"
"590","內湖區","港墘里"
"591","內湖區","五分里"
"592","松山區","東光里"
"593","內湖區","紫星里"
"594","大安區","黎孝里"
"595","大安區","黎孝里"
"596","士林區","福安里"
"597","文山區","興業里"
"598","中山區","晴光里"
"599","中山區","晴光里"
"600","北投區","智仁里"
"601","萬華區","孝德里"
"602","大同區","景星里"
"603","中山區","大直里"
"604","萬華區","興德里"
"605","大安區","龍淵里"
"606","士林區","葫東里"
"607","士林區","福華里"
"608","北投區","東華里"
"609","中山區","新生里"
"610","中山區","新生里"
"611","大安區","龍淵里"
"612","北投區","立農里"
"613","萬華區","新安里"
"614","大安區","龍生里"
"615","中正區","頂東里"
"616","文山區","興得里"
"617","中山區","朱園里"
"618","萬華區","忠德里"
"619","北投區","立賢里"
"620","士林區","福佳里"
"621","士林區","岩山里"
"622","大同區","延平里"
"623","松山區","三民里"
"624","北投區","豐年里"
"625","大同區","延平里"
"626","北投區","林泉里"
"627","信義區","永春里"
"628","中山區","中原里"
"629","大同區","景星里"
"630","內湖區","五分里"
"631","北投區","長安里"
"632","內湖區","五分里"
"633","萬華區","和德里"
