"","ACTIONID","Count","predict","group","district","town"
"367","DV00652908",2,1.0074,1,"中正區","文盛里"
"368","DV00653024",2,1.4182,1,"信義區","雙和里"
"369","DV00653162",2,1.48016493506494,1,"中山區","恆安里"
"370","DV00654022",2,1.25933333333333,1,"南港區","九如里"
"371","DV00654043",2,1.36813333333333,1,"南港區","九如里"
"372","DV00655830",2,1.32229230769231,1,"內湖區","碧山里"
"373","DV00656609",2,1.33291111111111,1,"士林區","陽明里"
"374","DV00657153",2,1.13246666666667,1,"北投區","泉源里"
"375","DV00657246",2,1.65816111111111,1,"信義區","松友里"
"376","DV00657501",2,1.28357948717949,1,"中正區","忠勤里"
"377","DV00657782",2,1.19517682317682,1,"萬華區","新和里"
"378","DV00658089",2,1.18856666666667,1,"士林區","福中里"
"379","DV00658288",2,1.25713333333333,1,"北投區","智仁里"
"380","DV00659402",2,1.26194194971695,1,"大安區","龍生里"
"381","DV00662949",2,1.43891666666667,1,"信義區","大道里"
"382","DV00663249",2,1.3253757992008,1,"內湖區","紫星里"
"383","DV00663320",2,1.2769,1,"北投區","裕民里"
"384","DV00663776",2,1.46607140637141,1,"內湖區","瑞陽里"
"385","DV00664581",2,1.10734149008886,1,"中山區","金泰里"
"386","DV00664983",2,1.17498095238095,1,"內湖區","港華里"
"387","DV00665791",2,1.3755601010101,1,"士林區","蘭雅里"
"388","DV00666209",2,1.25787976190476,1,"中山區","中山里"
"389","DV00666523",2,1.12699523809524,1,"內湖區","樂康里"
"390","DV00666586",2,1.29658175832595,1,"中正區","林興里"
"391","DV00666961",2,1.1057,1,"內湖區","紫雲里"
"392","DV00666962",2,1.16551428571429,1,"內湖區","紫雲里"
"393","DV00667084",2,1.22594761904762,1,"內湖區","紫雲里"
"394","DV00667288",2,1.20033333333333,1,"士林區","社子里"
"395","DV00667376",2,1.11536666666667,1,"中山區","朱園里"
"396","DV00667395",2,1.61060371850372,1,"中山區","朱園里"
"397","DV00667398",2,1.26471428571429,1,"內湖區","碧山里"
"398","DV00667715",2,1.1897,1,"南港區","成福里"
"399","DV00667872",2,1.37974401154401,1,"內湖區","港墘里"
"400","DV00668013",2,1.0583,1,"士林區","義信里"
"401","DV00668032",2,1.41120567765568,1,"士林區","名山里"
"402","DV00668248",2,1.34096666666667,1,"內湖區","五分里"
"403","DV00668381",2,1.1222,1,"大同區","重慶里"
"404","DV00668390",2,1.34616666666667,1,"北投區","清江里"
"405","DV00668500",2,1.23930770308123,1,"士林區","後港里"
"406","DV00668500",2,1.23930770308123,1,"士林區","後港里"
"407","DV00668554",2,1.39286666666667,1,"信義區","正和里"
"408","DV00668573",2,1.24219725829726,1,"信義區","正和里"
"409","DV00668612",2,1.50734172885938,1,"內湖區","港華里"
"410","DV00668652",2,1.66161428571429,1,"大同區","鄰江里"
"411","DV00668959",2,1.02523333333333,1,"士林區","芝山里"
"412","DV00669010",2,1.0043,1,"大同區","星明里"
"413","DV00669424",2,1.33126666666667,1,"北投區","永和里"
"414","DV00669603",2,1.33010067155067,1,"北投區","吉慶里"
"415","DV00670437",2,1.29835974025974,1,"大安區","仁愛里"
"416","DV00670607",2,1.12613333333333,1,"萬華區","孝德里"
"417","DV00671296",2,1.0601,1,"北投區","桃源里"
"418","DV00671498",2,1.23302727272727,1,"內湖區","港墘里"
"419","DV00671601",2,1.18346666666667,1,"士林區","臨溪里"
"420","DV00671632",2,1.13572380952381,1,"北投區","文林里"
"421","DV00671832",2,1.2321,1,"北投區","溫泉里"
"422","DV00672038",2,1.26991666666667,1,"北投區","福興里"
"423","DV00672288",2,1.38443333333333,1,"士林區","福安里"
"424","DV00673226",2,1.11813333333333,1,"松山區","莊敬里"
"425","DV00673779",2,1.19320427350427,1,"內湖區","湖濱里"
"426","DV00673800",2,1.34166666666667,1,"士林區","社園里"
"427","DV00674414",2,1.20082857142857,1,"大安區","民輝里"
"428","DV00674519",2,1.36868095238095,1,"中山區","下埤里"
"429","DV00674720",2,1.49993333333333,1,"內湖區","康寧里"
"430","DV00674992",2,1.20779523809524,1,"信義區","大仁里"
"431","DV00675526",2,1.07293333333333,1,"北投區","裕民里"
"432","DV00675695",2,1.15924523809524,1,"士林區","公館里"
"433","DV00675806",2,1.29421428571429,1,"萬華區","綠堤里"
"434","DV00675809",2,1.5526373015873,1,"內湖區","安泰里"
"435","DV00675834",2,1.13014761904762,1,"萬華區","新忠里"
"436","DV00676089",2,1.10036666666667,1,"中正區","網溪里"
"437","DV00676340",2,1.31516824841825,1,"松山區","民福里"
"438","DV00676381",2,1.60787380952381,1,"士林區","葫蘆里"
